Type,Star,Mini Name,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,L1 Stats,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,Song Target
Vibe,2,Summertime Zara,40,,,,60,,,,,28,,8,,,,12,,,,,7,"[""Crab Rave by Noisestorm [Monstercat]"",""Crab Rave (Hard) by Noisestorm [Monstercat]"",""Crab Rave (Camellia Remix) [EXTENDED CUT] by Noisestorm (Remixed by Camellia)"",""Crab Rave (Camellia Remix) [EXTENDED CUT] (Hard) by Noisestorm (Remixed by Camellia)"",""The Memory Of Summer [EXTENDED CUT] by RiraN feat. Ai Ohsera"",""The Memory Of Summer [EXTENDED CUT] (Hard) by RiraN feat. Ai Ohsera"",""Shiba Island by James Landino"",""Shiba Island (Hard) by James Landino"",""Surf by Hyper Potions"",""Surf (Hard) by Hyper Potions"",""Surf (Easy) by Hyper Potions"",""Splash Sunbeach by brz1128"",""Splash Sunbeach (Hard) by brz1128"",""Crab Rave (Easy) by Noisestorm [Monstercat]"",""COCA by Team Grimoire"",""COCA (Hard) by Team Grimoire"",""If The Sun Went Out by tv room"",""If The Sun Went Out (Hard) by tv room"",""If The Sun Went Out (Easy) by tv room"",""Saturn V2 short ver. by Egg Yolk"",""Saturn V2 short ver. (Hard) by Egg Yolk"",""Sky Blue by Synthion"",""Sky Blue (Hard) by Synthion"",""Sky Blue (Easy) by Synthion"",""Memory of Summer Days by Halv"",""Memory of Summer Days (Hard) by Halv"",""Memory of Summer Days (Easy) by Halv"",""Summer by Juggernaut"",""Summer (Hard) by Juggernaut"",""Scorcher on The Battlefield by seatrus"",""Scorcher on The Battlefield (Hard) by seatrus"",""chocolate island by Snail's House"",""chocolate island (Hard) by Snail's House"",""memories of blue by AAAA"",""memories of blue (Hard) by AAAA"",""TEMP3ST by seatrus"",""TEMP3ST (Hard) by seatrus"",""TEMP3ST (Easy) by seatrus""]"
Rush,1,Kurokotei,,,50,25,,,20,,,,,,,10,5,,,5,,,,"[""BPM = RT by Kurokotei"",""Neurotoxicity (Hard) by Kurokotei"",""#include <signal.h> by Kurokotei"",""#include <signal.h> (Hard) by Kurokotei"",""Astar by Kurokotei"",""Astar (Hard) by Kurokotei"",""BPM = RT (Hard) by Kurokotei"",""Neurotoxicity by Kurokotei"",""Devil's Palm by Kurokotei"",""Devil's Palm (Hard) by Kurokotei"",""Chronostasis by Kurokotei"",""Chronostasis (Hard) by Kurokotei"",""Galaxy Collapse (Classic Map) [EXTENDED CUT] by Kurokotei"",""Galaxy Collapse (Classic Map) [EXTENDED CUT] (Hard) by Kurokotei"",""Galaxy Collapse by Kurokotei"",""Galaxy Collapse (Hard) by Kurokotei"",""Galaxy Collapse (Easy) by Kurokotei"",""Galaxy Collapse [EXTENDED CUT] by Kurokotei"",""Galaxy Collapse [EXTENDED CUT] (Hard) by Kurokotei"",""Scattered Faith by Kurokotei"",""Scattered Faith (Hard) by Kurokotei"",""Scattered Faith (Easy) by Kurokotei"",""Scattered Faith (Full Version) [EXTENDED CUT] by Kurokotei [Anniversary]"",""Scattered Faith (Full Version) [EXTENDED CUT] (Hard) by Kurokotei [Anniversary]""]"
Beat,1,Viyella,,25,,50,,,,20,,,,,5,,10,,,,5,,,"[""Afflict by Laur [LAUR1200] feat. Risa Yuzuki"",""Afflict (Hard) by Laur [LAUR1200] feat. Risa Yuzuki"",""Attractor Dimension by Laur [LAUR1200]"",""Attractor Dimension (Hard) by Laur [LAUR1200]"",""Attractor Dimension (Easy) by Laur [LAUR1200]"",""Euphoria by Laur [LAUR1200]"",""Euphoria (Hard) by Laur [LAUR1200]"",""Euphoria (Easy) by Laur [LAUR1200]"",""Last Judgement by Laur [LAUR1200] vs Juggernaut"",""Last Judgement (Hard) by Laur [LAUR1200] vs Juggernaut"",""Sound Chimera (Game Edition) by Laur [LAUR1200]"",""Sound Chimera (Game Edition) (Hard) by Laur [LAUR1200]"",""Sound Chimera (Game Edition) (Easy) by Laur [LAUR1200]"",""Viyella's Destiny by Laur [LAUR1200]"",""Viyella's Destiny (Hard) by Laur [LAUR1200]"",""Viyella's Memory by Laur [LAUR1200]"",""Viyella's Memory (Hard) by Laur [LAUR1200]"",""Viyella's Memory (Easy) by Laur [LAUR1200]"",""Alteregoism by Laur [LAUR1200]"",""Alteregoism (Hard) by Laur [LAUR1200]"",""Alteregoism (Easy) by Laur [LAUR1200]"",""Collapse by Laur [LAUR1200] feat. Nakuru Aitsuki"",""Collapse (Hard) by Laur [LAUR1200] feat. Nakuru Aitsuki"",""Determination by Laur [LAUR1200] feat. Itsuki Natsume"",""Determination (Hard) by Laur [LAUR1200] feat. Itsuki Natsume"",""Grace by Laur [LAUR1200]"",""Grace (Hard) by Laur [LAUR1200]"",""SYSTEM ERROR by Laur [LAUR1200]"",""SYSTEM ERROR (Hard) by Laur [LAUR1200]"",""SYSTEM ERROR (Easy) by Laur [LAUR1200]"",""The Angel's Message by Laur [LAUR1200] feat. Sennzai"",""The Angel's Message (Hard) by Laur [LAUR1200] feat. Sennzai"",""The Angel's Message (Easy) by Laur [LAUR1200] feat. Sennzai"",""Viyella's Nightmare by Laur [LAUR1200]"",""Viyella's Nightmare (Hard) by Laur [LAUR1200]""]"
Rush,1,Trash Kitty,,20,60,,,,,24,,,,,4,12,,,,,6,,,
Chill,1,Asteroid's Dream,50,,,25,,,,,20,,,10,,,5,,,,,5,,"[""strawberry sherbet(KSMEdit) by brz1128"",""strawberry sherbet(KSMEdit) (Hard) by brz1128"",""Twinkle*Winter by brz1128"",""Twinkle*Winter (Hard) by brz1128"",""Twinkle*Winter (Easy) by brz1128"",""Canneles au chocolat by brz1128"",""Canneles au chocolat (Hard) by brz1128"",""Canneles au chocolat (Easy) by brz1128"",""strawberry sherbet(KSMEdit) (Easy) by brz1128"",""Asteroid's Dream by brz1128"",""Asteroid's Dream (Hard) by brz1128"",""Asteroid's Dream (Easy) by brz1128"",""Lemonede Chiffon by brz1128 (windless)"",""Lemonede Chiffon (Hard) by brz1128 (windless)"",""Primula by brz1128"",""Primula (Hard) by brz1128"",""Rockstar by brz1128"",""Rockstar (Hard) by brz1128"",""Rockstar (Easy) by brz1128"",""Sounds of Beginning by brz1128"",""Sounds of Beginning (Hard) by brz1128"",""stanciara by brz1128 vs. M-UE"",""stanciara (Hard) by brz1128 vs. M-UE"",""Twinkle Parade by brz1128"",""Twinkle Parade (Hard) by brz1128"",""Oceanus by brz1128"",""Oceanus (Hard) by brz1128"",""Bluelight by brz1128"",""Bluelight (Hard) by brz1128"",""Happy Lucky --> Injection!! by brz1128"",""Happy Lucky --> Injection!! (Hard) by brz1128"",""Happy Lucky --> Injection!! (Easy) by brz1128"",""PLAZMA by brz1128"",""PLAZMA (Hard) by brz1128"",""Plumage by brz1128"",""Plumage (Hard) by brz1128"",""Plumage (Easy) by brz1128"",""Splash Sunbeach by brz1128"",""Splash Sunbeach (Hard) by brz1128"",""TRICKY_TRIPPER by brz1128"",""TRICKY_TRIPPER (Hard) by brz1128"",""TRICKY_TRIPPER (Easy) by brz1128""]"
Chill,2,Schoolgirl Marie,60,,,40,,,,24,,,,12,,,8,,,,6,,,"[""Step Forward by Aoi Okutsu [Nash Music Library]"",""Happy! Lucky! La Kirari by Sunao Wada [Nash Music Library]"",""Happy! Lucky! La Kirari (Hard) by Sunao Wada [Nash Music Library]"",""Cutie Lovely Princess by Michiko Hamada [Nash Music Library]"",""Delusional!! by Ponchi feat. haxchi [MisoilePunch]"",""Delusional!! (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Cutie Lovely Princess (Hard) by Michiko Hamada [Nash Music Library]"",""Lovely My Prince by AKORINGO [Nash Music Library]"",""Step Forward (Hard) by Aoi Okutsu [Nash Music Library]"",""Dreaming of Flying in the Night Sky by Chroma (feat. mikanzil)"",""Dreaming of Flying in the Night Sky (Hard) by Chroma (feat. mikanzil)"",""Hold Me, Magic by AKORINGO [Nash Music Library]"",""Hold Me, Magic (Hard) by AKORINGO [Nash Music Library]"",""Lovely My Prince (Hard) by AKORINGO [Nash Music Library]"",""Happy Touch! by Yui Shimada [Nash Music Library]"",""Happy Touch! (Hard) by Yui Shimada [Nash Music Library]"",""Summer Time Lover by Yui Shimada [Nash Music Library]"",""Summer Time Lover (Hard) by Yui Shimada [Nash Music Library]"",""Crazy Magic by NAMI with Shigex2 & S/N [Nash Music Library]"",""Crazy Magic (Hard) by NAMI with Shigex2 & S/N [Nash Music Library]"",""Orange by Aoi Okutsu [Nash Music Library]"",""Orange (Hard) by Aoi Okutsu [Nash Music Library]"",""Magic by Chroma"",""Magic (Hard) by Chroma"",""Silly Bee by Ruka [Nash Music Library]"",""Silly Bee (Hard) by Ruka [Nash Music Library]"",""Reaction by James Landino feat. Slyleaf"",""Reaction (Hard) by James Landino feat. Slyleaf"",""Baby I Don't Care by Johnny / Michiko Hamada [Nash Music Library]"",""Baby I Don't Care (Hard) by Johnny / Michiko Hamada [Nash Music Library]"",""Reaction (Easy) by James Landino feat. Slyleaf"",""Quantum Love by James Landino feat. punipunidenki"",""Quantum Love (Hard) by James Landino feat. punipunidenki"",""Quantum Love (Easy) by James Landino feat. punipunidenki"",""Delusional!! (Easy) by Ponchi feat. haxchi [MisoilePunch]"",""Inferno City by Ponchi feat. haxchi [MisoilePunch]"",""Inferno City (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Maboroshi by Hyper Potions, Synthion & MYLK"",""Maboroshi (Hard) by Hyper Potions, Synthion & MYLK"",""Maboroshi (Easy) by Hyper Potions, Synthion & MYLK"",""The Dream Of A Rabbit Singing In The Night by UNDEAD CORPORATION"",""The Dream Of A Rabbit Singing In The Night (Hard) by UNDEAD CORPORATION"",""The Dream Of A Rabbit Singing In The Night (Easy) by UNDEAD CORPORATION"",""7colors memories by Reku Mochizuki feat. Seyaka"",""7colors memories (Hard) by Reku Mochizuki feat. Seyaka"",""Lost Dream by Juggernaut (feat. Hoshina Haru from i-robo)"",""Lost Dream (Hard) by Juggernaut (feat. Hoshina Haru from i-robo)"",""Lost Dream (Easy) by Juggernaut (feat. Hoshina Haru from i-robo)"",""statemachine by keisei (feat. Hatsune Miku)"",""statemachine (Hard) by keisei (feat. Hatsune Miku)"",""Moonflutter by Reku Mochizuki"",""Moonflutter (Hard) by Reku Mochizuki""]"
Chill,1,Tobu,55,,,15,,,,20,,,,11,,,3,,,,5,,,"[""Candyland by Tobu"",""Candyland (Hard) by Tobu"",""Who Needs A Broken Heart by Tobu & Mangoo"",""Who Needs A Broken Heart (Hard) by Tobu & Mangoo"",""With Your Love by Tobu"",""With Your Love (Hard) by Tobu"",""Candyland pt. II by Tobu"",""Candyland pt. II (Hard) by Tobu"",""Cloud 9 by Itro & Tobu"",""Cloud 9 (Hard) by Itro & Tobu"",""Colors by Tobu"",""Colors (Hard) by Tobu"",""Colors (Easy) by Tobu"",""Higher by Tobu"",""Higher (Hard) by Tobu"",""Higher (Easy) by Tobu"",""Lost by Tobu"",""Lost (Hard) by Tobu"",""Miracle by Tobu & Jim Yosef"",""Miracle (Hard) by Tobu & Jim Yosef"",""Sunburst by Tobu & Itro"",""Sunburst (Hard) by Tobu & Itro"",""Sunburst (Easy) by Tobu & Itro"",""Destiny by Jim Yosef, Electro-Light, Anna Yvette, Deaf Kev & Tobu"",""Destiny (Hard) by Jim Yosef, Electro-Light, Anna Yvette, Deaf Kev & Tobu"",""Destiny (Easy) by Jim Yosef, Electro-Light, Anna Yvette, Deaf Kev & Tobu"",""Infectious by Tobu"",""Infectious (Hard) by Tobu"",""Melomania by Tobu"",""Melomania (Hard) by Tobu"",""Find Myself by Tobu, Bonalt & Hadi feat. Tom Martensson"",""Find Myself (Hard) by Tobu, Bonalt & Hadi feat. Tom Martensson"",""Find Myself (Easy) by Tobu, Bonalt & Hadi feat. Tom Martensson"",""In My Mind by Tobu & AhXon"",""In My Mind (Hard) by Tobu & AhXon"",""La Belle by Tobu"",""La Belle (Hard) by Tobu"",""Let's Go by Tobu"",""Let's Go (Hard) by Tobu"",""Louder Now by Tobu"",""Louder Now (Hard) by Tobu"",""Louder Now (Easy) by Tobu"",""Part of History by Tobu"",""Part of History (Hard) by Tobu"",""Pinball by Tobu"",""Pinball (Hard) by Tobu"",""Save Me by Tobu"",""Save Me (Hard) by Tobu"",""Who Needs A Broken Heart (Easy) by Tobu & Mangoo"",""Candyland (Mo Falk Remix) by Tobu (Remix by Mo Falk)"",""Candyland (Mo Falk Remix) (Hard) by Tobu (Remix by Mo Falk)"",""Motion by Tobu & Wholm"",""Motion (Hard) by Tobu & Wholm"",""Something Right by Tobu (feat. Game4)"",""Something Right (Hard) by Tobu (feat. Game4)""]"
Beat,2,Autumn Festival Lisa,,,35,60,,,,,32,,,,,7,12,,,,,8,,"[""This Future (we didn't expect) by Camellia"",""This Future (we didn't expect) (Hard) by Camellia"",""E-Lectixilent (E-xtended Mix) [EXTENDED CUT] by Se-U-Ra"",""E-Lectixilent (E-xtended Mix) [EXTENDED CUT] (Hard) by Se-U-Ra"",""Labyrinth in Kowloon: Walled World by Camellia"",""Labyrinth in Kowloon: Walled World (Hard) by Camellia"",""Labyrinth in Kowloon: Walled World (Easy) by Camellia"",""BUBBLE TEA by dark cat (feat. juu & cinders)"",""BUBBLE TEA (Hard) by dark cat (feat. juu & cinders)"",""BUBBLE TEA (Easy) by dark cat (feat. juu & cinders)"",""Cloud 9 by Itro & Tobu"",""Cloud 9 (Hard) by Itro & Tobu"",""Sky Gazer by ARForest"",""Sky Gazer (Hard) by ARForest"",""Sky Gazer (Easy) by ARForest"",""Geton the Ascending Current (Spinoff of 'Loudly Cloudy') [EXTENDED CUT] by seatrus"",""Geton the Ascending Current (Spinoff of 'Loudly Cloudy') [EXTENDED CUT] (Hard) by seatrus"",""Aurora by Synthion"",""Aurora (Hard) by Synthion"",""Kowloon of the Kijoh by t+pazolite"",""Kowloon of the Kijoh (Hard) by t+pazolite"",""Mitsuri by you"",""Mitsuri (Hard) by you"",""Ryokucha by Project Skylate"",""Ryokucha (Hard) by Project Skylate"",""Ryokucha (Easy) by Project Skylate"",""kang-fu neko punch!! by AAAA"",""kang-fu neko punch!! (Hard) by AAAA"",""mellow at 3 a.m. by keisei (feat. Hatsune Miku)"",""mellow at 3 a.m. (Hard) by keisei (feat. Hatsune Miku)"",""Akanetsuki by Reku Mochizuki & Seyakate Shousan Tarou"",""Akanetsuki (Hard) by Reku Mochizuki & Seyakate Shousan Tarou"",""Fall by Project Skylate"",""Fall (Hard) by Project Skylate"",""Hoshizora by Snail's House"",""Hoshizora (Hard) by Snail's House""]"
Chill,1,Maliboux,50,,25,,,,,,,20,,10,,5,,,,,,,5,"[""Delirious by Maliboux"",""Delirious (Hard) by Maliboux"",""Delirious (Easy) by Maliboux"",""Get It Right by Maliboux"",""Get It Right (Hard) by Maliboux"",""GoodLove by Maliboux"",""GoodLove (Hard) by Maliboux"",""GoodLove (Easy) by Maliboux"",""Lights Out by Maliboux"",""Lights Out (Hard) by Maliboux"",""Roses by Maliboux"",""Roses (Hard) by Maliboux"",""Roses (Easy) by Maliboux""]"
Rush,1,RiraN,,,65,,,,,20,,,,,,13,,,,,5,,,"[""Ready For The Madness by RiraN"",""The Guardians Of The Sun (Hard) by RiraN"",""You & I by RiraN"",""You & I (Hard) by RiraN"",""The Guardians Of The Sun by RiraN"",""Take The Long Way Home by RiraN feat. core mc"",""Take The Long Way Home (Hard) by RiraN feat. core mc"",""Ready For The Madness (Hard) by RiraN"",""Daydream by RiraN"",""Daydream (Hard) by RiraN"",""Hate The Most by RiraN"",""Hate The Most (Hard) by RiraN"",""Don't Stop The Rave by RiraN"",""Don't Stop The Rave (Hard) by RiraN"",""Unshakable by RiraN"",""Unshakable (Hard) by RiraN"",""The Memory Of Summer [EXTENDED CUT] by RiraN feat. Ai Ohsera"",""The Memory Of Summer [EXTENDED CUT] (Hard) by RiraN feat. Ai Ohsera"",""RiraN Hardstyle Mashup [EXTENDED CUT] by RiraN (Arranged by poscle & ZirconEscalus)"",""RiraN Hardstyle Mashup [EXTENDED CUT] (Hard) by RiraN (Arranged by poscle & ZirconEscalus)"",""Unshakable (Easy) by RiraN"",""Daydream (Album Extended ver.) [EXTENDED CUT] by RiraN [Anniversary]"",""Daydream (Album Extended ver.) [EXTENDED CUT] (Hard) by RiraN [Anniversary]"",""Back Out by RiraN"",""Back Out (Hard) by RiraN"",""Back Out (Easy) by RiraN"",""Daydream (Easy) by RiraN""]"
Vibe,1,Hyper Potions Shiba,,,,25,50,,,20,,,,,,,5,10,,,5,,,"[""Jelly by Hyper Potions & MYLK"",""Jelly (Hard) by Hyper Potions & MYLK"",""Jelly (Easy) by Hyper Potions & MYLK"",""Maboroshi by Hyper Potions, Synthion & MYLK"",""Maboroshi (Hard) by Hyper Potions, Synthion & MYLK"",""Maboroshi (Easy) by Hyper Potions, Synthion & MYLK"",""Papaya by Hyper Potions & MYLK"",""Papaya (Hard) by Hyper Potions & MYLK"",""Puppy Raceway by Hyper Potions & SAMME"",""Puppy Raceway (Hard) by Hyper Potions & SAMME"",""Shooting Star by Hyper Potions & Skye Rocket"",""Shooting Star (Hard) by Hyper Potions & Skye Rocket"",""Snow Day by Hyper Potions"",""Snow Day (Hard) by Hyper Potions"",""Surf by Hyper Potions"",""Surf (Hard) by Hyper Potions"",""Surf (Easy) by Hyper Potions"",""The Speed In My Soul by CG5 & Hyper Potions"",""The Speed In My Soul (Hard) by CG5 & Hyper Potions"",""Trick or Treat by Hyper Potions"",""Trick or Treat (Hard) by Hyper Potions"",""Where We Wanna Be by Hyper Potions & Mega Flare feat. Slyleaf"",""Where We Wanna Be (Hard) by Hyper Potions & Mega Flare feat. Slyleaf"",""Expedition by Hyper Potions & Nokae"",""Expedition (Hard) by Hyper Potions & Nokae""]"
Rush,1,Okuu,,25,50,,,,24,,,,,,5,10,,,,6,,,,"[""Poison AND/OR Affection by LeaF (7eaF)"",""Mopemope by LeaF (7eaF)"",""Mopemope (Hard) by LeaF (7eaF)"",""Evanescent by LeaF (7eaF)"",""Evanescent (Hard) by LeaF (7eaF)"",""MARENOL by LeaF (7eaF)"",""MARENOL (Hard) by LeaF (7eaF)"",""Lyrith by LeaF (7eaF)"",""Lyrith (Hard) by LeaF (7eaF)"",""Poison AND/OR Affection (Hard) by LeaF (7eaF)"",""Alice in Misanthrope by LeaF (7eaF)"",""Alice in Misanthrope (Hard) by LeaF (7eaF)"",""Kyouki Ranbu by LeaF (7eaF)"",""Kyouki Ranbu (Hard) by LeaF (7eaF)"",""ATHAZA by LeaF (7eaF)"",""ATHAZA (Hard) by LeaF (7eaF)"",""Doppelganger by LeaF (7eaF)"",""Doppelganger (Hard) by LeaF (7eaF)"",""LeaF Style Super * Mashup [EXTENDED CUT] by LeaF (7eaF) (Arranged by SilentWuffer)"",""LeaF Style Super * Mashup [EXTENDED CUT] (Hard) by LeaF (7eaF) (Arranged by SilentWuffer)"",""Mopemope (Easy) by LeaF (7eaF)"",""Poison AND/OR Affection (Easy) by LeaF (7eaF)"",""Armageddon by LeaF (7eaF)"",""Armageddon (Hard) by LeaF (7eaF)"",""Armageddon (Easy) by LeaF (7eaF)"",""Calamity Fortune by LeaF (7eaF)"",""Calamity Fortune (Hard) by LeaF (7eaF)"",""Calamity Fortune (Easy) by LeaF (7eaF)"",""Wizdomiot by LeaF (7eaF)"",""Wizdomiot (Hard) by LeaF (7eaF)"",""Wizdomiot (Easy) by LeaF (7eaF)"",""ATHAZA (Easy) by LeaF (7eaF)"",""ATHAZA (Classic Map) [EXTENDED CUT] by LeaF (7eaF)"",""ATHAZA (Classic Map) [EXTENDED CUT] (Hard) by LeaF (7eaF)"",""Calamity Fortune [EXTENDED CUT] by LeaF (7eaF) [Anniversary]"",""Calamity Fortune [EXTENDED CUT] (Hard) by LeaF (7eaF) [Anniversary]""]"
Flow,1,Bossfight,,65,,,20,,,,,16,,,13,,,4,,,,,4,"[""Warp by Bossfight [Monstercat]"",""Warp (Hard) by Bossfight [Monstercat]"",""Warp (Easy) by Bossfight [Monstercat]"",""Charge by Bossfight"",""Charge (Hard) by Bossfight"",""Endgame by Bossfight"",""Endgame (Hard) by Bossfight"",""Endgame (Easy) by Bossfight"",""Overdose by Bossfight (feat. Philip Strand)"",""Overdose (Hard) by Bossfight (feat. Philip Strand)"",""U Got Me by Bossfight"",""U Got Me (Hard) by Bossfight"",""Work by Bossfight"",""Work (Hard) by Bossfight""]"
Rush,1,cYsmix,,20,70,,,,,24,,,,,4,14,,,,,6,,,"[""Oracle by cYsmix & Nhato"",""Oracle (Hard) by cYsmix & Nhato"",""Peer Gynt by cYsmix"",""Peer Gynt (Hard) by cYsmix"",""Peer Gynt (Easy) by cYsmix"",""Phone Me First by cYsmix"",""Phone Me First (Hard) by cYsmix"",""Tear Rain by cYsmix (feat. Emmy)"",""Tear Rain (Hard) by cYsmix (feat. Emmy)"",""Tear Rain (Easy) by cYsmix (feat. Emmy)"",""Youkai Woods by cYsmix"",""Youkai Woods (Hard) by cYsmix""]"
Beat,1,Halv,,,,70,,,20,,,,,,,,14,,,5,,,,"[""Brilliant & Shining! by Halv"",""Brilliant & Shining! (Hard) by Halv"",""Brilliant & Shining! (Easy) by Halv"",""Dusk Till Dawn by Halv"",""Dusk Till Dawn (Hard) by Halv"",""Hype & Love by Halv"",""Hype & Love (Hard) by Halv"",""Sushi Tornado by Halv"",""Sushi Tornado (Hard) by Halv"",""Yabai-Jan by Halv"",""Yabai-Jan (Hard) by Halv"",""Yabai-Jan (Easy) by Halv"",""Memory of Summer Days by Halv"",""Memory of Summer Days (Hard) by Halv"",""Memory of Summer Days (Easy) by Halv"",""Ginsekai -Alternative- by Halv"",""Ginsekai -Alternative- (Hard) by Halv"",""Romanesque by Halv"",""Romanesque (Hard) by Halv"",""OMG by Halv"",""OMG (Hard) by Halv"",""NeruNeru-Chan travels to the Luminous Stars! by Halv"",""NeruNeru-Chan travels to the Luminous Stars! (Hard) by Halv"",""NeruNeru-Chan travels to the Luminous Stars! (Easy) by Halv"",""Chaotic Heart OwO by Halv"",""Chaotic Heart OwO (Hard) by Halv"",""Ovt of soLar sys7em [EXTENDED CUT] by Halv"",""Ovt of soLar sys7em [EXTENDED CUT] (Hard) by Halv""]"
Beat,2,Make a Cake Chef,,,25,65,,,,,,28,,,,5,13,,,,,,7,
Rush,1,Helpful Alien,,25,50,,,,20,,,,,,5,10,,,,5,,,,"[""Monday Night Monsters (Hard) by FinnMK"",""The Wither by BSlick"",""Insight by Haywyre"",""Shop 'til You Drop by FinnMK"",""Shop 'til You Drop (Hard) by FinnMK"",""Medusa by Aiobahn feat. Cozi Zuehlsdorff [Monstercat]"",""Medusa (Hard) by Aiobahn feat. Cozi Zuehlsdorff [Monstercat]"",""Space Battle by F-777"",""Space Battle (Hard) by F-777"",""Insight (Hard) by Haywyre"",""The Wither (Hard) by BSlick"",""Daydream by RiraN"",""Daydream (Hard) by RiraN"",""Monday Night Monsters by FinnMK"",""Window Cleaner: A Tale of Two Gangs by Joshua Kaplan (Open Heart Sound)"",""Window Cleaner: A Tale of Two Gangs (Hard) by Joshua Kaplan (Open Heart Sound)"",""Decisions by FinnMK"",""Decisions (Hard) by FinnMK"",""Jump, Goober, Jump!! by Joshua Kaplan (Open Heart Sound)"",""Jump, Goober, Jump!! (Hard) by Joshua Kaplan (Open Heart Sound)"",""Crab Rave by Noisestorm [Monstercat]"",""Crab Rave (Hard) by Noisestorm [Monstercat]"",""Daily Life by FinnMK"",""Daily Life (Hard) by FinnMK"",""Dark Sheep [EXTENDED CUT] by Chroma"",""Dark Sheep [EXTENDED CUT] (Hard) by Chroma"",""M1LLI0N PP by Camellia"",""M1LLI0N PP (Hard) by Camellia"",""Power Up by Razihel"",""Power Up (Hard) by Razihel"",""Blue Zenith by xi (xi_com_giko_31)"",""Blue Zenith (Hard) by xi (xi_com_giko_31)"",""Show's Startin' by FinnMK"",""Show's Startin' (Hard) by FinnMK"",""Walkin' 'n' Strollin' by FinnMK"",""Walkin' 'n' Strollin' (Hard) by FinnMK"",""Insight (Easy) by Haywyre"",""M1LLI0N PP (Easy) by Camellia"",""Dark Sheep [EXTENDED CUT] (Easy) by Chroma"",""FREEDOM DiVE by xi (xi_com_giko_31)"",""FREEDOM DiVE (Hard) by xi (xi_com_giko_31)"",""FREEDOM DiVE (Easy) by xi (xi_com_giko_31)"",""Blue Zenith (Easy) by xi (xi_com_giko_31)"",""Space Battle (Easy) by F-777"",""Monday Night Monsters (Tutorial) by FinnMK"",""RoBeats Piano Mix [EXTENDED CUT] by Various artists (Arranged by ZirconEscalus)"",""RoBeats Piano Mix [EXTENDED CUT] (Hard) by Various artists (Arranged by ZirconEscalus)"",""Everything Will Freeze by UNDEAD CORPORATION"",""Everything Will Freeze (Hard) by UNDEAD CORPORATION"",""Everything Will Freeze (Easy) by UNDEAD CORPORATION"",""Galaxy Collapse by Kurokotei"",""Galaxy Collapse (Hard) by Kurokotei"",""Galaxy Collapse (Easy) by Kurokotei"",""Sound Chimera (Game Edition) by Laur [LAUR1200]"",""Sound Chimera (Game Edition) (Hard) by Laur [LAUR1200]"",""Sound Chimera (Game Edition) (Easy) by Laur [LAUR1200]"",""Daydream (Easy) by RiraN"",""Brain Power by NOMA"",""Brain Power (Hard) by NOMA"",""Brain Power (Easy) by NOMA"",""Crab Rave (Easy) by Noisestorm [Monstercat]"",""Overkill by RIOT [Monstercat]"",""Overkill (Hard) by RIOT [Monstercat]"",""Overkill (Easy) by RIOT [Monstercat]""]"
